year,unitid,instnm,lstudy,gender,n_enrl
2020,228778,The University of Texas at Austin,Graduate,Total,10428
2020,228778,The University of Texas at Austin,Graduate,Men,5278
2020,228778,The University of Texas at Austin,Graduate,Women,5150
2017,236948,University of Washington-Seattle Campus,All students,Total,46166
2017,236948,University of Washington-Seattle Campus,All students,Men,21689
2017,236948,University of Washington-Seattle Campus,All students,Women,24477
2017,236948,University of Washington-Seattle Campus,Undergraduate,Total,31331
2017,236948,University of Washington-Seattle Campus,Undergraduate,Men,14772
2017,236948,University of Washington-Seattle Campus,Undergraduate,Women,16559
2017,236948,University of Washington-Seattle Campus,Graduate,Total,14835
2017,236948,University of Washington-Seattle Campus,Graduate,Men,6917
2017,236948,University of Washington-Seattle Campus,Graduate,Women,7918
2018,236948,University of Washington-Seattle Campus,All students,Total,47400
2018,236948,University of Washington-Seattle Campus,All students,Men,21989
2018,236948,University of Washington-Seattle Campus,All students,Women,25411
2018,236948,University of Washington-Seattle Campus,Undergraduate,Total,32099
2018,236948,University of Washington-Seattle Campus,Undergraduate,Men,14955
2018,236948,University of Washington-Seattle Campus,Undergraduate,Women,17144
2018,236948,University of Washington-Seattle Campus,Graduate,Total,15301
2018,236948,University of Washington-Seattle Campus,Graduate,Men,7034
2018,236948,University of Washington-Seattle Campus,Graduate,Women,8267
2019,236948,University of Washington-Seattle Campus,All students,Total,47576
2019,236948,University of Washington-Seattle Campus,All students,Men,21664
2019,236948,University of Washington-Seattle Campus,All students,Women,25912
2019,236948,University of Washington-Seattle Campus,Undergraduate,Total,32046
2019,236948,University of Washington-Seattle Campus,Undergraduate,Men,14645
2019,236948,University of Washington-Seattle Campus,Undergraduate,Women,17401
2019,236948,University of Washington-Seattle Campus,Graduate,Total,15530
2019,236948,University of Washington-Seattle Campus,Graduate,Men,7019
2019,236948,University of Washington-Seattle Campus,Graduate,Women,8511
2020,236948,University of Washington-Seattle Campus,All students,Total,48149
2020,236948,University of Washington-Seattle Campus,All students,Men,21464
2020,236948,University of Washington-Seattle Campus,All students,Women,26685
2020,236948,University of Washington-Seattle Campus,Undergraduate,Total,32244
2020,236948,University of Washington-Seattle Campus,Undergraduate,Men,14448
2020,236948,University of Washington-Seattle Campus,Undergraduate,Women,17796
2020,236948,University of Washington-Seattle Campus,Graduate,Total,15905
2020,236948,University of Washington-Seattle Campus,Graduate,Men,7016
2020,236948,University of Washington-Seattle Campus,Graduate,Women,8889
2017,240444,University of Wisconsin-Madison,All students,Total,42977
2017,240444,University of Wisconsin-Madison,All students,Men,21019
2017,240444,University of Wisconsin-Madison,All students,Women,21958
2017,240444,University of Wisconsin-Madison,Undergraduate,Total,31358
2017,240444,University of Wisconsin-Madison,Undergraduate,Men,15280
2017,240444,University of Wisconsin-Madison,Undergraduate,Women,16078
2017,240444,University of Wisconsin-Madison,Graduate,Total,11619
2017,240444,University of Wisconsin-Madison,Graduate,Men,5739
2017,240444,University of Wisconsin-Madison,Graduate,Women,5880
2018,240444,University of Wisconsin-Madison,All students,Total,43463
2018,240444,University of Wisconsin-Madison,All students,Men,21154
2018,240444,University of Wisconsin-Madison,All students,Women,22309
2018,240444,University of Wisconsin-Madison,Undergraduate,Total,31705
2018,240444,University of Wisconsin-Madison,Undergraduate,Men,15436
2018,240444,University of Wisconsin-Madison,Undergraduate,Women,16269
2018,240444,University of Wisconsin-Madison,Graduate,Total,11758
2018,240444,University of Wisconsin-Madison,Graduate,Men,5718
2018,240444,University of Wisconsin-Madison,Graduate,Women,6040
2019,240444,University of Wisconsin-Madison,All students,Total,44257
2019,240444,University of Wisconsin-Madison,All students,Men,21314
2019,240444,University of Wisconsin-Madison,All students,Women,22943
2019,240444,University of Wisconsin-Madison,Undergraduate,Total,32399
2019,240444,University of Wisconsin-Madison,Undergraduate,Men,15644
2019,240444,University of Wisconsin-Madison,Undergraduate,Women,16755
2019,240444,University of Wisconsin-Madison,Graduate,Total,11858
2019,240444,University of Wisconsin-Madison,Graduate,Men,5670
2019,240444,University of Wisconsin-Madison,Graduate,Women,6188
2020,240444,University of Wisconsin-Madison,All students,Total,44640
2020,240444,University of Wisconsin-Madison,All students,Men,21359
2020,240444,University of Wisconsin-Madison,All students,Women,23281
2020,240444,University of Wisconsin-Madison,Undergraduate,Total,32688
2020,240444,University of Wisconsin-Madison,Undergraduate,Men,15714
2020,240444,University of Wisconsin-Madison,Undergraduate,Women,16974
2020,240444,University of Wisconsin-Madison,Graduate,Total,11952
2020,240444,University of Wisconsin-Madison,Graduate,Men,5645
2020,240444,University of Wisconsin-Madison,Graduate,Women,6307
