year,unitid,instnm,lstudy,gender,n_enrl
2017,134130,University of Florida,All students,Total,52669
2017,134130,University of Florida,All students,Men,23618
2017,134130,University of Florida,All students,Women,29051
2017,134130,University of Florida,Undergraduate,Total,35247
2017,134130,University of Florida,Undergraduate,Men,15525
2017,134130,University of Florida,Undergraduate,Women,19722
2017,134130,University of Florida,Graduate,Total,17422
2017,134130,University of Florida,Graduate,Men,8093
2017,134130,University of Florida,Graduate,Women,9329
2018,134130,University of Florida,All students,Total,52218
2018,134130,University of Florida,All students,Men,23093
2018,134130,University of Florida,All students,Women,29125
2018,134130,University of Florida,Undergraduate,Total,35491
2018,134130,University of Florida,Undergraduate,Men,15504
2018,134130,University of Florida,Undergraduate,Women,19987
2018,134130,University of Florida,Graduate,Total,16727
2018,134130,University of Florida,Graduate,Men,7589
2018,134130,University of Florida,Graduate,Women,9138
2019,134130,University of Florida,All students,Total,52407
2019,134130,University of Florida,All students,Men,23244
2019,134130,University of Florida,All students,Women,29163
2019,134130,University of Florida,Undergraduate,Total,35405
2019,134130,University of Florida,Undergraduate,Men,15465
2019,134130,University of Florida,Undergraduate,Women,19940
2019,134130,University of Florida,Graduate,Total,17002
2019,134130,University of Florida,Graduate,Men,7779
2019,134130,University of Florida,Graduate,Women,9223
2020,134130,University of Florida,All students,Total,53372
2020,134130,University of Florida,All students,Men,23183
2020,134130,University of Florida,All students,Women,30189
2020,134130,University of Florida,Undergraduate,Total,34931
2020,134130,University of Florida,Undergraduate,Men,15166
2020,134130,University of Florida,Undergraduate,Women,19765
2020,134130,University of Florida,Graduate,Total,18441
2020,134130,University of Florida,Graduate,Men,8017
2020,134130,University of Florida,Graduate,Women,10424
2017,145637,University of Illinois at Urbana-Champaign,All students,Total,48216
2017,145637,University of Illinois at Urbana-Champaign,All students,Men,26153
2017,145637,University of Illinois at Urbana-Champaign,All students,Women,22063
2017,145637,University of Illinois at Urbana-Champaign,Undergraduate,Total,33955
2017,145637,University of Illinois at Urbana-Champaign,Undergraduate,Men,18578
2017,145637,University of Illinois at Urbana-Champaign,Undergraduate,Women,15377
2017,145637,University of Illinois at Urbana-Champaign,Graduate,Total,14261
2017,145637,University of Illinois at Urbana-Champaign,Graduate,Men,7575
2017,145637,University of Illinois at Urbana-Champaign,Graduate,Women,6686
2018,145637,University of Illinois at Urbana-Champaign,All students,Total,49702
2018,145637,University of Illinois at Urbana-Champaign,All students,Men,26907
2018,145637,University of Illinois at Urbana-Champaign,All students,Women,22795
2018,145637,University of Illinois at Urbana-Champaign,Undergraduate,Total,33915
2018,145637,University of Illinois at Urbana-Champaign,Undergraduate,Men,18385
2018,145637,University of Illinois at Urbana-Champaign,Undergraduate,Women,15530
2018,145637,University of Illinois at Urbana-Champaign,Graduate,Total,15787
2018,145637,University of Illinois at Urbana-Champaign,Graduate,Men,8522
2018,145637,University of Illinois at Urbana-Champaign,Graduate,Women,7265
2019,145637,University of Illinois at Urbana-Champaign,All students,Total,51605
2019,145637,University of Illinois at Urbana-Champaign,All students,Men,27884
2019,145637,University of Illinois at Urbana-Champaign,All students,Women,23721
2019,145637,University of Illinois at Urbana-Champaign,Undergraduate,Total,34120
2019,145637,University of Illinois at Urbana-Champaign,Undergraduate,Men,18352
2019,145637,University of Illinois at Urbana-Champaign,Undergraduate,Women,15768
2019,145637,University of Illinois at Urbana-Champaign,Graduate,Total,17485
2019,145637,University of Illinois at Urbana-Champaign,Graduate,Men,9532
2019,145637,University of Illinois at Urbana-Champaign,Graduate,Women,7953
2020,145637,University of Illinois at Urbana-Champaign,All students,Total,52679
2020,145637,University of Illinois at Urbana-Champaign,All students,Men,28685
2020,145637,University of Illinois at Urbana-Champaign,All students,Women,23994
2020,145637,University of Illinois at Urbana-Champaign,Undergraduate,Total,33683
2020,145637,University of Illinois at Urbana-Champaign,Undergraduate,Men,18161
2020,145637,University of Illinois at Urbana-Champaign,Undergraduate,Women,15522
2020,145637,University of Illinois at Urbana-Champaign,Graduate,Total,18996
2020,145637,University of Illinois at Urbana-Champaign,Graduate,Men,10524
2020,145637,University of Illinois at Urbana-Champaign,Graduate,Women,8472
2017,153658,University of Iowa,All students,Total,32166
2017,153658,University of Iowa,All students,Men,15290
2017,153658,University of Iowa,All students,Women,16876
2017,153658,University of Iowa,Undergraduate,Total,24503
2017,153658,University of Iowa,Undergraduate,Men,11561
2017,153658,University of Iowa,Undergraduate,Women,12942
2017,153658,University of Iowa,Graduate,Total,7663
2017,153658,University of Iowa,Graduate,Men,3729
2017,153658,University of Iowa,Graduate,Women,3934
2018,153658,University of Iowa,All students,Total,31656
2018,153658,University of Iowa,All students,Men,14867
2018,153658,University of Iowa,All students,Women,16789
2018,153658,University of Iowa,Undergraduate,Total,23989
2018,153658,University of Iowa,Undergraduate,Men,11191
2018,153658,University of Iowa,Undergraduate,Women,12798
2018,153658,University of Iowa,Graduate,Total,7667
2018,153658,University of Iowa,Graduate,Men,3676
2018,153658,University of Iowa,Graduate,Women,3991
2019,153658,University of Iowa,All students,Total,31240
2019,153658,University of Iowa,All students,Men,14507
2019,153658,University of Iowa,All students,Women,16733
2019,153658,University of Iowa,Undergraduate,Total,23482
2019,153658,University of Iowa,Undergraduate,Men,10830
2019,153658,University of Iowa,Undergraduate,Women,12652
2019,153658,University of Iowa,Graduate,Total,7758
2019,153658,University of Iowa,Graduate,Men,3677
2019,153658,University of Iowa,Graduate,Women,4081
2020,153658,University of Iowa,All students,Total,30318
2020,153658,University of Iowa,All students,Men,13791
2020,153658,University of Iowa,All students,Women,16527
2020,153658,University of Iowa,Undergraduate,Total,22304
2020,153658,University of Iowa,Undergraduate,Men,10091
2020,153658,University of Iowa,Undergraduate,Women,12213
2020,153658,University of Iowa,Graduate,Total,8014
2020,153658,University of Iowa,Graduate,Men,3700
2020,153658,University of Iowa,Graduate,Women,4314
2017,163286,University of Maryland-College Park,All students,Total,40521
2017,163286,University of Maryland-College Park,All students,Men,21462
2017,163286,University of Maryland-College Park,All students,Women,19059
2017,163286,University of Maryland-College Park,Undergraduate,Total,29868
2017,163286,University of Maryland-College Park,Undergraduate,Men,15945
2017,163286,University of Maryland-College Park,Undergraduate,Women,13923
2017,163286,University of Maryland-College Park,Graduate,Total,10653
2017,163286,University of Maryland-College Park,Graduate,Men,5517
2017,163286,University of Maryland-College Park,Graduate,Women,5136
2018,163286,University of Maryland-College Park,All students,Total,41200
2018,163286,University of Maryland-College Park,All students,Men,21681
2018,163286,University of Maryland-College Park,All students,Women,19519
2018,163286,University of Maryland-College Park,Undergraduate,Total,30762
2018,163286,University of Maryland-College Park,Undergraduate,Men,16299
2018,163286,University of Maryland-College Park,Undergraduate,Women,14463
2018,163286,University of Maryland-College Park,Graduate,Total,10438
2018,163286,University of Maryland-College Park,Graduate,Men,5382
2018,163286,University of Maryland-College Park,Graduate,Women,5056
2019,163286,University of Maryland-College Park,All students,Total,40743
2019,163286,University of Maryland-College Park,All students,Men,21062
